,,,,,,,,,,,,,,,,,
,,Table 3:,,,,,,,,,,Table: 25,,,,,
,,PM Peak Period Person Trips By Purpose,,,,,,,,,,Household Size by Sex of Householder,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Trip Purpose,,Trip Volumes,,%,,,,,,,,C-U,COG,Adj. COG,
,,Normalization Assumptions,,,,,,,,,,4+,C-U,46009,7998,4882,
,,,,,,,,,,,,,COG,70938,10602,2473,
,,,,,,,,,,,,,% Diff.,0.54182877,0.3255814,-0.49344531,
,,Trip Purpose,,Origin,Destination,,,,,,,,,,,,
,,Unchained Work Trips,,,,,,,,,,Female Household head,,,,,
,,Work-to-Home,,Adjusted ,Fixed,,,,,,,1,C-U,8637,3706,23050,
,,Chained Work Trips,,,,,,,,,,,COG,9082,5065,19512,
,,   Work-to-Other,,Adjusted ,Adjusted ,,,,,,,,% Diff.,0.051522519,0.36670264,-0.15349241,
,,   Other-to-Home,,Adjusted ,Fixed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Afternoon Home to Work Trips,,,,,,,,,,2,C-U,9506,4622,10315,
,,   Home-to-Work,,Fixed,Adjusted ,,,,,,,,COG,10748,2763,4814,
,,,,,,,,,,,,,% Diff.,0.13065432,-0.40220684,-0.53330102,
,,Nonwork Trips,,,,,,,,,,,,,,,
,,   Home-to-Other,,Adjusted ,Fixed,,,,,,,,,,,,
,,   Other-to-Home,,Fixed,Adjusted ,,,,,,,3,C-U,5415,1672,3747,
,,   Other-to-Other,,Fixed,Adjusted ,,,,,,,,COG,3185,1396,1749,
,,,,,,,,,,,,,% Diff.,-0.41181902,-0.16507177,-0.53322658,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4+,C-U,4777,1429,1078,
,,,,,,,,,,,,,COG,3875,746,351,
,,,,,,,,,,,,,% Diff.,-0.18882144,-0.47795661,-0.67439703,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Note:  C-U:  MCPD Census Update Survey, 1987",,,,,
,,,,,,,,,,,,          COG:  1987/88 MWCOG Household Travel Survey,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Table 1:,,,,,
,,,,,,,,,,,,Sample Size by Jurisdiction,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jurisdiction,,No. of Completed ,,Household,Sample
,,,,,,,,,,,,,,Samples,,Size,Size
,,,,,,,,,,,,,,,,(in '000),(%)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Washington, DC",,1952,,250,0.7808
,,,,,,,,,,,,Montgomery County. MD,,1827,,280,0.6525
,,,,,,,,,,,,"Prince George's County, MD",,992,,263,0.37718631
,,,,,,,,,,,,"Arlington County, VA",,266,,48,0.55416667
,,,,,,,,,,,,"Alexandria City, VA",,378,,79,0.47848101
,,,,,,,,,,,,"Fairfax County, VA",,1059,,328,0.32286585
,,,,,,,,,,,,"Loudoun County, VA",,258,,31,0.83225806
,,,,,,,,,,,,"Prince William County, VA",,288,,89,0.32359551
,,,,,,,,,,,,"Frederick County, MD",,481,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total,,7501,,1368,0.54831871
